Latitude, Longitude
40.704169, -74.012311
40.786538, -73.978644
40.748827, -73.996353
40.758985, -73.998625
40.759011, -73.989876
40.706088, -74.004447
40.421338, -74.005794
40.712805, -74.009507
40.778345, -75.955805
40.708119, -74.012238
